Quarter	Redfin Metro	Investor Market Share	Investor Purchases	Investor Purchases YoY
2012 Q1	Miami, FL	37%	1,488	+8%
2012 Q1	Milwaukee, WI	12%	216	+26%
2012 Q1	Minneapolis, MN	11%	468	+13%
2012 Q1	Montgomery County, PA	6%	164	+8%
2012 Q1	Nashville, TN	9%	262	+22%
2012 Q1	New Brunswick, NJ	8%	254	-35%
2012 Q1	New York, NY	14%	1,067	+9%
2012 Q1	Newark, NJ	8%	179	+3%
2012 Q1	Oakland, CA	9%	266	+0%
2012 Q1	Orlando, FL	20%	649	-8%
2012 Q1	Philadelphia, PA	10%	243	+1%
2012 Q1	Phoenix, AZ	17%	1,903	+63%
2012 Q1	Portland, OR	11%	332	+15%
2012 Q1	Providence, RI	9%	122	-5%
2012 Q1	Riverside, CA	13%	734	+19%
2012 Q1	Sacramento, CA	11%	319	+24%
2012 Q1	San Diego, CA	16%	618	+43%
2012 Q1	San Francisco, CA	14%	269	+21%
2012 Q1	San Jose, CA	10%	227	+33%
2012 Q1	Seattle, WA	7%	240	+21%
2012 Q1	Tampa, FL	15%	721	+44%
2012 Q1	Virginia Beach, VA	11%	265	+18%
2012 Q1	Warren, MI	8%	284	+18%
2012 Q1	Washington, DC	9%	604	+17%
2012 Q1	West Palm Beach, FL	15%	531	+30%
2011 Q4	National	12%	18,556	+19%
2011 Q4	Anaheim, CA	12%	420	-1%
2011 Q4	Atlanta, GA	13%	819	+31%
2011 Q4	Baltimore, MD	8%	327	-3%
2011 Q4	Charlotte, NC	12%	340	+14%
2011 Q4	Chicago, IL	9%	615	+18%
2011 Q4	Cincinnati, OH	10%	268	-9%
2011 Q4	Cleveland, OH	8%	209	+4%
2011 Q4	Columbus, OH	8%	220	+1%
2011 Q4	Denver, CO	11%	657	+47%
2011 Q4	Fort Lauderdale, FL	19%	801	+46%
2011 Q4	Jacksonville, FL	14%	255	+34%
2011 Q4	Las Vegas, NV	20%	565	+34%
2011 Q4	Los Angeles, CA	12%	1,222	+20%
2011 Q4	Miami, FL	37%	1,419	+25%
2011 Q4	Milwaukee, WI	9%	175	-12%
2011 Q4	Minneapolis, MN	9%	501	+22%
2011 Q4	Montgomery County, PA	5%	176	-10%
2011 Q4	Nashville, TN	9%	299	+25%
2011 Q4	New Brunswick, NJ	7%	315	+10%
2011 Q4	New York, NY	12%	950	+6%
2011 Q4	Newark, NJ	7%	197	+5%
2011 Q4	Oakland, CA	8%	272	+12%
2011 Q4	Orlando, FL	19%	642	+32%
2011 Q4	Philadelphia, PA	10%	270	-5%
2011 Q4	Phoenix, AZ	17%	1,398	+50%
2011 Q4	Portland, OR	8%	302	+12%
2011 Q4	Providence, RI	8%	122	-12%
2011 Q4	Riverside, CA	12%	659	+11%
2011 Q4	Sacramento, CA	11%	344	+22%
2011 Q4	San Diego, CA	14%	569	+9%
2011 Q4	San Francisco, CA	13%	278	+18%
2011 Q4	San Jose, CA	9%	214	-3%
2011 Q4	Seattle, WA	7%	269	+17%
2011 Q4	Tampa, FL	14%	704	+18%
2011 Q4	Virginia Beach, VA	9%	236	+7%
2011 Q4	Warren, MI	7%	297	+58%
2011 Q4	Washington, DC	8%	617	+16%
2011 Q4	West Palm Beach, FL	16%	471	+23%
2011 Q3	National	11%	20,044	+20%
2011 Q3	Anaheim, CA	12%	552	+27%
2011 Q3	Atlanta, GA	11%	806	+12%
2011 Q3	Baltimore, MD	8%	379	+5%
2011 Q3	Charlotte, NC	9%	317	-3%
2011 Q3	Chicago, IL	8%	705	+1%
2011 Q3	Cincinnati, OH	8%	326	-11%
2011 Q3	Cleveland, OH	8%	267	+26%
2011 Q3	Columbus, OH	8%	264	+10%
2011 Q3	Denver, CO	8%	548	+13%
2011 Q3	Fort Lauderdale, FL	18%	779	+37%
2011 Q3	Jacksonville, FL	14%	294	+31%
2011 Q3	Las Vegas, NV	17%	480	+6%
2011 Q3	Los Angeles, CA	11%	1,230	+13%
2011 Q3	Miami, FL	42%	1,880	+68%
2011 Q3	Milwaukee, WI	8%	205	+19%
2011 Q3	Minneapolis, MN	7%	515	-3%
2011 Q3	Montgomery County, PA	4%	202	+3%
2011 Q3	Nashville, TN	8%	311	+25%
2011 Q3	New Brunswick, NJ	6%	308	-5%
2011 Q3	New York, NY	12%	1,152	+10%
2011 Q3	Newark, NJ	6%	227	+7%
2011 Q3	Oakland, CA	9%	349	+18%
2011 Q3	Orlando, FL	20%	740	+49%
2011 Q3	Philadelphia, PA	8%	251	-9%
2011 Q3	Phoenix, AZ	16%	1,401	+50%
2011 Q3	Portland, OR	8%	374	+17%
2011 Q3	Providence, RI	8%	128	-18%
2011 Q3	Riverside, CA	11%	676	+10%
2011 Q3	Sacramento, CA	11%	370	+19%
2011 Q3	San Diego, CA	14%	642	+27%
2011 Q3	San Francisco, CA	15%	339	+26%
2011 Q3	San Jose, CA	8%	230	+5%
2011 Q3	Seattle, WA	6%	267	+0%
2011 Q3	Tampa, FL	13%	700	+10%
2011 Q3	Virginia Beach, VA	9%	252	+16%
2011 Q3	Warren, MI	6%	309	+46%
2011 Q3	Washington, DC	7%	641	+11%
2011 Q3	West Palm Beach, FL	14%	475	+57%
2011 Q2	National	11%	19,774	+5%
2011 Q2	Anaheim, CA	12%	537	+1%
2011 Q2	Atlanta, GA	11%	758	-9%
2011 Q2	Baltimore, MD	8%	396	-10%
2011 Q2	Charlotte, NC	9%	301	-33%
2011 Q2	Chicago, IL	8%	634	+2%
2011 Q2	Cincinnati, OH	10%	357	-17%
2011 Q2	Cleveland, OH	8%	245	+5%
2011 Q2	Columbus, OH	9%	279	-6%
2011 Q2	Denver, CO	9%	562	+4%
2011 Q2	Fort Lauderdale, FL	16%	743	+33%
2011 Q2	Jacksonville, FL	13%	268	-5%
2011 Q2	Las Vegas, NV	17%	534	-8%
2011 Q2	Los Angeles, CA	12%	1,296	+7%
2011 Q2	Miami, FL	37%	1,597	+67%
2011 Q2	Milwaukee, WI	8%	188	-8%
2011 Q2	Minneapolis, MN	8%	494	-21%
2011 Q2	Montgomery County, PA	5%	190	-20%
2011 Q2	Nashville, TN	7%	265	-21%
2011 Q2	New Brunswick, NJ	7%	317	+16%
2011 Q2	New York, NY	12%	1,081	+14%
2011 Q2	Newark, NJ	7%	199	-2%
2011 Q2	Oakland, CA	9%	370	+4%
2011 Q2	Orlando, FL	19%	672	+46%
2011 Q2	Philadelphia, PA	8%	276	-19%
2011 Q2	Phoenix, AZ	16%	1,582	+15%
2011 Q2	Portland, OR	9%	340	-8%
2011 Q2	Providence, RI	9%	162	-5%
2011 Q2	Riverside, CA	12%	748	-6%
2011 Q2	Sacramento, CA	11%	352	+8%
2011 Q2	San Diego, CA	13%	616	+7%
2011 Q2	San Francisco, CA	14%	342	+21%
2011 Q2	San Jose, CA	8%	260	+18%
2011 Q2	Seattle, WA	7%	303	-17%
2011 Q2	Tampa, FL	13%	753	+13%
2011 Q2	Virginia Beach, VA	9%	272	-9%
2011 Q2	Warren, MI	5%	212	+2%
2011 Q2	Washington, DC	6%	627	-2%
2011 Q2	West Palm Beach, FL	13%	543	+22%
2011 Q1	National	13%	15,707	+1%
2011 Q1	Anaheim, CA	11%	350	-16%
2011 Q1	Atlanta, GA	13%	560	-16%
2011 Q1	Baltimore, MD	9%	293	-8%
2011 Q1	Charlotte, NC	13%	254	-36%
2011 Q1	Chicago, IL	9%	467	-11%
2011 Q1	Cincinnati, OH	12%	268	-20%
2011 Q1	Cleveland, OH	9%	153	-19%
2011 Q1	Columbus, OH	10%	182	-20%
2011 Q1	Denver, CO	9%	360	-21%
2011 Q1	Fort Lauderdale, FL	18%	620	+15%
2011 Q1	Jacksonville, FL	15%	212	-2%
2011 Q1	Las Vegas, NV	18%	433	+17%
2011 Q1	Los Angeles, CA	13%	1,003	+13%
2011 Q1	Miami, FL	43%	1,377	+38%
2011 Q1	Milwaukee, WI	11%	171	+4%
2011 Q1	Minneapolis, MN	11%	415	-21%
2011 Q1	Montgomery County, PA	6%	152	-20%
2011 Q1	Nashville, TN	10%	214	-16%
2011 Q1	New Brunswick, NJ	11%	390	+51%
2011 Q1	New York, NY	12%	980	+1%
2011 Q1	Newark, NJ	7%	173	+5%
2011 Q1	Oakland, CA	10%	265	+39%
2011 Q1	Orlando, FL	26%	708	+29%
2011 Q1	Philadelphia, PA	10%	240	+2%
2011 Q1	Phoenix, AZ	16%	1,167	+2%
2011 Q1	Portland, OR	11%	288	+4%
2011 Q1	Providence, RI	10%	129	-1%
2011 Q1	Riverside, CA	13%	619	-3%
2011 Q1	Sacramento, CA	12%	257	+8%
2011 Q1	San Diego, CA	14%	431	-7%
2011 Q1	San Francisco, CA	14%	222	+14%
2011 Q1	San Jose, CA	9%	171	+13%
2011 Q1	Seattle, WA	6%	199	-14%
2011 Q1	Tampa, FL	13%	499	-13%
2011 Q1	Virginia Beach, VA	11%	224	-9%
2011 Q1	Warren, MI	7%	240	-3%
2011 Q1	Washington, DC	9%	517	+16%
2011 Q1	West Palm Beach, FL	14%	410	+19%
2010 Q4	National	11%	15,555	-12%
2010 Q4	Anaheim, CA	12%	425	+13%
2010 Q4	Atlanta, GA	12%	627	-25%
2010 Q4	Baltimore, MD	9%	337	-26%
2010 Q4	Charlotte, NC	12%	298	-36%
2010 Q4	Chicago, IL	9%	522	-25%
2010 Q4	Cincinnati, OH	11%	294	-27%
2010 Q4	Cleveland, OH	8%	201	-22%
2010 Q4	Columbus, OH	9%	217	-16%
2010 Q4	Denver, CO	9%	448	-20%
2010 Q4	Fort Lauderdale, FL	17%	550	+4%
2010 Q4	Jacksonville, FL	12%	191	-31%
2010 Q4	Las Vegas, NV	17%	421	+16%
2010 Q4	Los Angeles, CA	11%	1,021	+4%
2010 Q4	Miami, FL	37%	1,134	-14%
2010 Q4	Milwaukee, WI	11%	199	-6%
2010 Q4	Minneapolis, MN	8%	409	-35%
2010 Q4	Montgomery County, PA	6%	195	-28%
2010 Q4	Nashville, TN	9%	240	-22%
2010 Q4	New Brunswick, NJ	7%	286	-27%
2010 Q4	New York, NY	11%	896	-11%
2010 Q4	Newark, NJ	7%	188	-15%
2010 Q4	Oakland, CA	7%	242	-6%
2010 Q4	Orlando, FL	19%	486	+25%
2010 Q4	Philadelphia, PA	11%	285	+0%
2010 Q4	Phoenix, AZ	15%	935	-24%
2010 Q4	Portland, OR	9%	270	-8%
2010 Q4	Providence, RI	7%	138	-34%
2010 Q4	Riverside, CA	12%	593	+6%
2010 Q4	Sacramento, CA	11%	282	-10%
2010 Q4	San Diego, CA	14%	521	+7%
2010 Q4	San Francisco, CA	12%	235	+4%
2010 Q4	San Jose, CA	9%	220	+19%
2010 Q4	Seattle, WA	6%	230	-28%
2010 Q4	Tampa, FL	14%	598	+1%
2010 Q4	Virginia Beach, VA	10%	221	-25%
2010 Q4	Warren, MI	6%	188	-16%
2010 Q4	Washington, DC	7%	531	+9%
2010 Q4	West Palm Beach, FL	14%	382	+16%
2010 Q3	National	10%	16,767	-4%
2010 Q3	Anaheim, CA	10%	434	+0%
2010 Q3	Atlanta, GA	11%	718	-17%
2010 Q3	Baltimore, MD	9%	362	-19%
2010 Q3	Charlotte, NC	12%	326	-35%
2010 Q3	Chicago, IL	9%	695	+5%
2010 Q3	Cincinnati, OH	11%	368	-10%
2010 Q3	Cleveland, OH	8%	212	-11%
2010 Q3	Columbus, OH	8%	241	-9%
2010 Q3	Denver, CO	9%	486	-25%
2010 Q3	Fort Lauderdale, FL	16%	568	+18%
2010 Q3	Jacksonville, FL	12%	224	-31%
2010 Q3	Las Vegas, NV	18%	452	+30%
2010 Q3	Los Angeles, CA	11%	1,087	+5%
2010 Q3	Miami, FL	35%	1,120	+30%
2010 Q3	Milwaukee, WI	8%	172	-26%
2010 Q3	Minneapolis, MN	8%	529	-18%
2010 Q3	Montgomery County, PA	5%	196	-36%
2010 Q3	Nashville, TN	8%	248	-29%
2010 Q3	New Brunswick, NJ	6%	323	-4%
2010 Q3	New York, NY	10%	1,044	+9%
2010 Q3	Newark, NJ	5%	213	+6%
2010 Q3	Oakland, CA	8%	297	+16%
2010 Q3	Orlando, FL	18%	498	+32%
2010 Q3	Philadelphia, PA	8%	275	-25%
2010 Q3	Phoenix, AZ	15%	933	-21%
2010 Q3	Portland, OR	9%	321	+9%
2010 Q3	Providence, RI	7%	156	-18%
2010 Q3	Riverside, CA	12%	615	+19%
2010 Q3	Sacramento, CA	11%	310	-3%
2010 Q3	San Diego, CA	12%	504	-1%
2010 Q3	San Francisco, CA	13%	269	+5%
2010 Q3	San Jose, CA	8%	219	+4%
2010 Q3	Seattle, WA	6%	267	-18%
2010 Q3	Tampa, FL	14%	635	+5%
2010 Q3	Virginia Beach, VA	9%	217	-22%
2010 Q3	Warren, MI	5%	212	-5%
2010 Q3	Washington, DC	7%	577	+10%
2010 Q3	West Palm Beach, FL	11%	303	-14%
2010 Q2	National	9%	18,803	+28%
2010 Q2	Anaheim, CA	10%	531	+44%
2010 Q2	Atlanta, GA	10%	835	+2%
2010 Q2	Baltimore, MD	7%	441	-10%
2010 Q2	Charlotte, NC	11%	452	+1%
2010 Q2	Chicago, IL	6%	620	+16%
2010 Q2	Cincinnati, OH	8%	432	+28%
2010 Q2	Cleveland, OH	6%	233	+9%
2010 Q2	Columbus, OH	7%	296	+20%
2010 Q2	Denver, CO	7%	540	+0%
2010 Q2	Fort Lauderdale, FL	14%	559	+83%
2010 Q2	Jacksonville, FL	12%	281	+25%
2010 Q2	Las Vegas, NV	18%	578	+123%
2010 Q2	Los Angeles, CA	10%	1,214	+47%
2010 Q2	Miami, FL	28%	956	+45%
2010 Q2	Milwaukee, WI	6%	205	+31%
2010 Q2	Minneapolis, MN	8%	622	+22%
2010 Q2	Montgomery County, PA	5%	237	+0%
2010 Q2	Nashville, TN	7%	335	+15%
2010 Q2	New Brunswick, NJ	5%	273	-1%
2010 Q2	New York, NY	10%	951	+27%
2010 Q2	Newark, NJ	6%	203	+26%
2010 Q2	Oakland, CA	8%	356	+32%
2010 Q2	Orlando, FL	14%	460	+49%
2010 Q2	Philadelphia, PA	7%	341	+9%
2010 Q2	Phoenix, AZ	14%	1,381	+33%
2010 Q2	Portland, OR	7%	369	+51%
2010 Q2	Providence, RI	6%	170	+6%
2010 Q2	Riverside, CA	12%	796	+77%
2010 Q2	Sacramento, CA	9%	326	+41%
2010 Q2	San Diego, CA	11%	575	+26%
2010 Q2	San Francisco, CA	11%	282	+24%
2010 Q2	San Jose, CA	7%	220	+26%
2010 Q2	Seattle, WA	6%	364	+26%
2010 Q2	Tampa, FL	11%	665	+26%
2010 Q2	Virginia Beach, VA	8%	299	+15%
2010 Q2	Warren, MI	5%	207	+24%
2010 Q2	Washington, DC	6%	641	+43%
2010 Q2	West Palm Beach, FL	11%	444	+60%
2010 Q1	National	11%	15,515	+41%
2010 Q1	Anaheim, CA	11%	417	+91%
2010 Q1	Atlanta, GA	13%	669	-5%
2010 Q1	Baltimore, MD	9%	317	-17%
2010 Q1	Charlotte, NC	15%	398	+15%
2010 Q1	Chicago, IL	9%	524	+37%
2010 Q1	Cincinnati, OH	12%	334	+12%
2010 Q1	Cleveland, OH	9%	188	+42%
2010 Q1	Columbus, OH	11%	228	+13%
2010 Q1	Denver, CO	9%	457	+13%
2010 Q1	Fort Lauderdale, FL	15%	538	+90%
2010 Q1	Jacksonville, FL	15%	217	+11%
2010 Q1	Las Vegas, NV	17%	369	+91%
2010 Q1	Los Angeles, CA	10%	890	+62%
2010 Q1	Miami, FL	34%	1,001	+150%
2010 Q1	Milwaukee, WI	10%	165	+23%
2010 Q1	Minneapolis, MN	10%	526	+67%
2010 Q1	Montgomery County, PA	7%	190	-4%
2010 Q1	Nashville, TN	10%	256	+8%
2010 Q1	New Brunswick, NJ	7%	259	+38%
2010 Q1	New York, NY	11%	972	+19%
2010 Q1	Newark, NJ	7%	164	+16%
2010 Q1	Oakland, CA	7%	190	+19%
2010 Q1	Orlando, FL	21%	548	+117%
2010 Q1	Philadelphia, PA	9%	236	-12%
2010 Q1	Phoenix, AZ	15%	1,139	+70%
2010 Q1	Portland, OR	9%	278	+59%
2010 Q1	Providence, RI	8%	130	+48%
2010 Q1	Riverside, CA	13%	640	+101%
2010 Q1	Sacramento, CA	10%	238	+43%
2010 Q1	San Diego, CA	13%	465	+64%
2010 Q1	San Francisco, CA	12%	194	+92%
2010 Q1	San Jose, CA	8%	152	+71%
2010 Q1	Seattle, WA	6%	231	+16%
2010 Q1	Tampa, FL	13%	571	+39%
2010 Q1	Virginia Beach, VA	10%	247	+28%
2010 Q1	Warren, MI	8%	248	+91%
2010 Q1	Washington, DC	7%	447	+20%
2010 Q1	West Palm Beach, FL	12%	344	+56%
2009 Q4	National	9%	17,671	+19%
2009 Q4	Anaheim, CA	8%	376	+18%
2009 Q4	Atlanta, GA	11%	835	-17%
2009 Q4	Baltimore, MD	8%	455	-8%
2009 Q4	Charlotte, NC	11%	465	+0%
2009 Q4	Chicago, IL	7%	695	+5%
2009 Q4	Cincinnati, OH	9%	402	+8%
2009 Q4	Cleveland, OH	7%	258	+21%
2009 Q4	Columbus, OH	7%	259	-2%
2009 Q4	Denver, CO	8%	559	+4%
2009 Q4	Fort Lauderdale, FL	14%	531	+136%
2009 Q4	Jacksonville, FL	12%	276	+10%
2009 Q4	Las Vegas, NV	15%	363	+23%
2009 Q4	Los Angeles, CA	9%	982	+41%
2009 Q4	Miami, FL	37%	1,319	+75%
2009 Q4	Milwaukee, WI	7%	212	-6%
2009 Q4	Minneapolis, MN	7%	634	+38%
2009 Q4	Montgomery County, PA	5%	271	+3%
2009 Q4	Nashville, TN	7%	306	+8%
2009 Q4	New Brunswick, NJ	6%	391	+17%
2009 Q4	New York, NY	9%	1,008	+11%
2009 Q4	Newark, NJ	5%	221	+17%
2009 Q4	Oakland, CA	7%	258	+13%
2009 Q4	Orlando, FL	13%	390	+29%
2009 Q4	Philadelphia, PA	6%	284	-22%
2009 Q4	Phoenix, AZ	15%	1,237	+47%
2009 Q4	Portland, OR	6%	294	-3%
2009 Q4	Providence, RI	7%	209	+39%
2009 Q4	Riverside, CA	11%	558	+50%
2009 Q4	Sacramento, CA	10%	313	+35%
2009 Q4	San Diego, CA	11%	485	+27%
2009 Q4	San Francisco, CA	10%	227	+33%
2009 Q4	San Jose, CA	7%	185	+31%
2009 Q4	Seattle, WA	6%	320	+14%
2009 Q4	Tampa, FL	11%	592	+17%
2009 Q4	Virginia Beach, VA	8%	294	+18%
2009 Q4	Warren, MI	6%	225	+9%
2009 Q4	Washington, DC	6%	488	-5%
2009 Q4	West Palm Beach, FL	10%	329	+21%
2009 Q3	National	9%	17,467	-11%
2009 Q3	Anaheim, CA	9%	436	+0%
2009 Q3	Atlanta, GA	11%	867	-34%
2009 Q3	Baltimore, MD	8%	446	-26%
2009 Q3	Charlotte, NC	11%	504	-29%
2009 Q3	Chicago, IL	6%	661	-28%
2009 Q3	Cincinnati, OH	9%	408	-15%
2009 Q3	Cleveland, OH	6%	237	-25%
2009 Q3	Columbus, OH	6%	264	-33%
2009 Q3	Denver, CO	8%	649	+1%
2009 Q3	Fort Lauderdale, FL	13%	480	+49%
2009 Q3	Jacksonville, FL	15%	323	+4%
2009 Q3	Las Vegas, NV	16%	349	-8%
2009 Q3	Los Angeles, CA	10%	1,039	+16%
2009 Q3	Miami, FL	30%	860	-12%
2009 Q3	Milwaukee, WI	6%	231	-12%
2009 Q3	Minneapolis, MN	7%	646	+2%
2009 Q3	Montgomery County, PA	5%	306	+9%
2009 Q3	Nashville, TN	7%	348	-15%
2009 Q3	New Brunswick, NJ	5%	337	-8%
2009 Q3	New York, NY	9%	960	-27%
2009 Q3	Newark, NJ	5%	201	-34%
2009 Q3	Oakland, CA	7%	255	-3%
2009 Q3	Orlando, FL	12%	378	-15%
2009 Q3	Philadelphia, PA	7%	367	-19%
2009 Q3	Phoenix, AZ	15%	1,179	+9%
2009 Q3	Portland, OR	6%	294	-25%
2009 Q3	Providence, RI	6%	191	+8%
2009 Q3	Riverside, CA	11%	515	+13%
2009 Q3	Sacramento, CA	10%	320	+8%
2009 Q3	San Diego, CA	12%	509	-2%
2009 Q3	San Francisco, CA	11%	257	+2%
2009 Q3	San Jose, CA	7%	210	-2%
2009 Q3	Seattle, WA	6%	325	-26%
2009 Q3	Tampa, FL	11%	607	-5%
2009 Q3	Virginia Beach, VA	7%	277	-25%
2009 Q3	Warren, MI	6%	223	-13%
2009 Q3	Washington, DC	5%	525	-12%
2009 Q3	West Palm Beach, FL	11%	352	+4%
2009 Q2	National	9%	14,633	-29%
2009 Q2	Anaheim, CA	10%	369	-5%
2009 Q2	Atlanta, GA	13%	818	-41%
2009 Q2	Baltimore, MD	10%	488	-33%
2009 Q2	Charlotte, NC	12%	447	-53%
2009 Q2	Chicago, IL	8%	535	-44%
2009 Q2	Cincinnati, OH	9%	338	-33%
2009 Q2	Cleveland, OH	7%	213	-34%
2009 Q2	Columbus, OH	8%	246	-27%
2009 Q2	Denver, CO	8%	540	-11%
2009 Q2	Fort Lauderdale, FL	10%	306	-15%
2009 Q2	Jacksonville, FL	13%	225	-43%
2009 Q2	Las Vegas, NV	14%	259	-50%
2009 Q2	Los Angeles, CA	10%	828	-9%
2009 Q2	Miami, FL	28%	658	-16%
2009 Q2	Milwaukee, WI	7%	157	-42%
2009 Q2	Minneapolis, MN	9%	509	-8%
2009 Q2	Montgomery County, PA	6%	236	-9%
2009 Q2	Nashville, TN	7%	291	-40%
2009 Q2	New Brunswick, NJ	7%	277	-29%
2009 Q2	New York, NY	11%	750	-29%
2009 Q2	Newark, NJ	6%	161	-43%
2009 Q2	Oakland, CA	9%	269	+3%
2009 Q2	Orlando, FL	14%	309	-38%
2009 Q2	Philadelphia, PA	9%	314	-28%
2009 Q2	Phoenix, AZ	15%	1,041	-28%
2009 Q2	Portland, OR	6%	244	-40%
2009 Q2	Providence, RI	7%	160	-4%
2009 Q2	Riverside, CA	11%	450	-24%
2009 Q2	Sacramento, CA	9%	232	-9%
2009 Q2	San Diego, CA	12%	458	-20%
2009 Q2	San Francisco, CA	12%	227	-15%
2009 Q2	San Jose, CA	8%	175	-21%
2009 Q2	Seattle, WA	6%	289	-32%
2009 Q2	Tampa, FL	11%	528	-21%
2009 Q2	Virginia Beach, VA	8%	260	-31%
2009 Q2	Warren, MI	7%	167	-37%
2009 Q2	Washington, DC	5%	447	-26%
2009 Q2	West Palm Beach, FL	9%	278	-42%
2009 Q1	National	11%	10,968	-41%
2009 Q1	Anaheim, CA	9%	218	-25%
2009 Q1	Atlanta, GA	16%	702	-49%
2009 Q1	Baltimore, MD	12%	383	-42%
2009 Q1	Charlotte, NC	15%	347	-57%
2009 Q1	Chicago, IL	9%	383	-51%
2009 Q1	Cincinnati, OH	14%	297	-32%
2009 Q1	Cleveland, OH	8%	132	-48%
2009 Q1	Columbus, OH	11%	201	-39%
2009 Q1	Denver, CO	11%	405	-15%
2009 Q1	Fort Lauderdale, FL	12%	283	-30%
2009 Q1	Jacksonville, FL	15%	195	-41%
2009 Q1	Las Vegas, NV	16%	193	-55%
2009 Q1	Los Angeles, CA	11%	550	-26%
2009 Q1	Miami, FL	26%	401	-54%
2009 Q1	Milwaukee, WI	10%	134	-43%
2009 Q1	Minneapolis, MN	8%	315	-30%
2009 Q1	Montgomery County, PA	8%	198	-4%
2009 Q1	Nashville, TN	10%	236	-40%
2009 Q1	New Brunswick, NJ	7%	188	-52%
2009 Q1	New York, NY	13%	816	-31%
2009 Q1	Newark, NJ	7%	141	-48%
2009 Q1	Oakland, CA	10%	160	-13%
2009 Q1	Orlando, FL	15%	252	-48%
2009 Q1	Philadelphia, PA	11%	269	-45%
2009 Q1	Phoenix, AZ	16%	671	-47%
2009 Q1	Portland, OR	7%	175	-53%
2009 Q1	Providence, RI	7%	88	-33%
2009 Q1	Riverside, CA	12%	318	-34%
2009 Q1	Sacramento, CA	10%	166	-24%
2009 Q1	San Diego, CA	14%	284	-16%
2009 Q1	San Francisco, CA	10%	101	-51%
2009 Q1	San Jose, CA	9%	89	-38%
2009 Q1	Seattle, WA	8%	199	-54%
2009 Q1	Tampa, FL	13%	412	-34%
2009 Q1	Virginia Beach, VA	9%	193	-44%
2009 Q1	Warren, MI	8%	130	-53%
2009 Q1	Washington, DC	8%	373	-27%
2009 Q1	West Palm Beach, FL	11%	221	-32%
2008 Q4	National	10%	14,865	-37%
2008 Q4	Anaheim, CA	11%	318	-15%
2008 Q4	Atlanta, GA	14%	1,003	-45%
2008 Q4	Baltimore, MD	10%	497	-42%
2008 Q4	Charlotte, NC	14%	465	-59%
2008 Q4	Chicago, IL	8%	663	-43%
2008 Q4	Cincinnati, OH	12%	373	-32%
2008 Q4	Cleveland, OH	8%	213	-55%
2008 Q4	Columbus, OH	10%	263	-44%
2008 Q4	Denver, CO	9%	537	-21%
2008 Q4	Fort Lauderdale, FL	9%	225	-54%
2008 Q4	Jacksonville, FL	14%	252	-43%
2008 Q4	Las Vegas, NV	19%	296	-33%
2008 Q4	Los Angeles, CA	10%	694	-27%
2008 Q4	Miami, FL	31%	755	-20%
2008 Q4	Milwaukee, WI	10%	225	-34%
2008 Q4	Minneapolis, MN	8%	460	-34%
2008 Q4	Montgomery County, PA	7%	263	-11%
2008 Q4	Nashville, TN	8%	284	-41%
2008 Q4	New Brunswick, NJ	7%	333	-29%
2008 Q4	New York, NY	10%	907	-27%
2008 Q4	Newark, NJ	6%	189	-48%
2008 Q4	Oakland, CA	8%	229	-11%
2008 Q4	Orlando, FL	13%	302	-56%
2008 Q4	Philadelphia, PA	10%	366	-33%
2008 Q4	Phoenix, AZ	17%	839	-50%
2008 Q4	Portland, OR	9%	302	-40%
2008 Q4	Providence, RI	7%	150	-14%
2008 Q4	Riverside, CA	12%	372	-26%
2008 Q4	Sacramento, CA	10%	231	-28%
2008 Q4	San Diego, CA	14%	382	-15%
2008 Q4	San Francisco, CA	11%	171	-23%
2008 Q4	San Jose, CA	9%	141	-8%
2008 Q4	Seattle, WA	7%	281	-41%
2008 Q4	Tampa, FL	13%	506	-33%
2008 Q4	Virginia Beach, VA	9%	249	-37%
2008 Q4	Warren, MI	7%	207	-44%
2008 Q4	Washington, DC	8%	514	-21%
2008 Q4	West Palm Beach, FL	12%	271	-32%
2008 Q3	National	9%	19,730	-35%
2008 Q3	Anaheim, CA	11%	438	-11%
2008 Q3	Atlanta, GA	12%	1,310	-50%
2008 Q3	Baltimore, MD	10%	605	-42%
2008 Q3	Charlotte, NC	12%	714	-52%
2008 Q3	Chicago, IL	7%	919	-45%
2008 Q3	Cincinnati, OH	11%	481	-30%
2008 Q3	Cleveland, OH	8%	314	-41%
2008 Q3	Columbus, OH	8%	392	-33%
2008 Q3	Denver, CO	8%	641	-27%
2008 Q3	Fort Lauderdale, FL	9%	323	-49%
2008 Q3	Jacksonville, FL	13%	310	-52%
2008 Q3	Las Vegas, NV	16%	379	-35%
2008 Q3	Los Angeles, CA	10%	892	-27%
2008 Q3	Miami, FL	31%	980	-14%
2008 Q3	Milwaukee, WI	7%	263	-40%
2008 Q3	Minneapolis, MN	6%	636	-30%
2008 Q3	Montgomery County, PA	5%	281	-34%
2008 Q3	Nashville, TN	8%	411	-25%
2008 Q3	New Brunswick, NJ	5%	366	-27%
2008 Q3	New York, NY	11%	1,322	-15%
2008 Q3	Newark, NJ	6%	306	-28%
2008 Q3	Oakland, CA	8%	262	-21%
2008 Q3	Orlando, FL	13%	445	-47%
2008 Q3	Philadelphia, PA	9%	452	-37%
2008 Q3	Phoenix, AZ	14%	1,082	-43%
2008 Q3	Portland, OR	7%	391	-26%
2008 Q3	Providence, RI	6%	177	-12%
2008 Q3	Riverside, CA	12%	456	-30%
2008 Q3	Sacramento, CA	10%	295	-19%
