tract_geoid,total_jobs,resident_workers,pressure_ratio
12009065240,275,758,0.3627968337730871
12009066101,747,1630,0.4582822085889571
12009066103,87,678,0.12831858407079647
12009066104,551,1562,0.352752880921895
12009066200,1248,1250,0.9984
12009066301,1884,2893,0.6512270998963015
12009066302,1060,1886,0.5620360551431601
12009066400,1965,2227,0.8823529411764706
12009066500,709,1571,0.4513049013367282
12009066600,549,1919,0.28608650338718083
12009066700,1222,2386,0.512154233025985
12009066800,83,667,0.12443778110944528
12009066900,623,2633,0.23661222939612608
12009067100,1255,397,3.1612090680100757
12009068101,1253,1205,1.0398340248962656
12009068102,73,941,0.077577045696068
12009068400,1882,857,2.1960326721120187
12009068501,795,918,0.8660130718954249
12009068502,735,1080,0.6805555555555556
12009068601,4737,888,5.33445945945946
12009068603,39,719,0.054242002781641166
12009068604,2934,783,3.7471264367816093
12009069100,544,1967,0.27656329435688864
12009069200,497,1141,0.43558282208588955
12009069300,470,1345,0.34944237918215615
12009069400,935,2613,0.35782625334864143
12009069700,352,1099,0.3202911737943585
12009069801,1090,1580,0.689873417721519
12009069802,586,1941,0.3019062339000515
12009069903,405,1306,0.3101071975497703
12009069904,849,2581,0.3289422704378148
12009069905,11197,59,189.77966101694915
12009069906,664,855,0.776608187134503
12009069907,1309,1287,1.017094017094017
12009071100,661,1554,0.42535392535392536
12009071201,4634,3074,1.5074821080026024
12009071202,217,1028,0.21108949416342412
12009071203,38,1682,0.022592152199762187
12009071204,7,173,0.04046242774566474
12009071205,501,2678,0.18707991038088126
12009071335,2122,2348,0.903747870528109
12009071337,191,3541,0.05393956509460604
12009071339,13710,3776,3.6308262711864407
12009071341,250,3265,0.07656967840735068
12009071342,2905,2129,1.3644903710662282
12009071343,437,1830,0.23879781420765028
12009071344,407,2358,0.1726039016115352
12009071345,1195,3482,0.34319356691556574
12009071346,1412,3244,0.4352651048088779
12009071347,593,2852,0.2079242636746143
12009071348,343,4268,0.08036551077788191
12009071349,62,1691,0.03666469544648137
12009071350,77,2691,0.028613898179115572
12009071351,638,1727,0.36942675159235666
12009071352,136,1628,0.08353808353808354
12009071353,900,3168,0.2840909090909091
12009071354,1170,3189,0.36688617121354655
12009071401,2766,634,4.3627760252365935
12009071402,1108,980,1.1306122448979592
12009071500,2484,1086,2.287292817679558
12009071601,642,1186,0.5413153456998314
12009071602,3953,1055,3.746919431279621
12009071700,4349,2094,2.0768863419293218
12009980000,1658,77,21.532467532467532
12011010102,671,1394,0.4813486370157819
12011010103,4264,1431,2.9797344514325648
12011010104,1233,899,1.371523915461624
12011010201,911,1351,0.6743153219837158
12011010202,2002,1522,1.3153745072273324
12011010304,626,1786,0.3505039193729003
12011010305,5560,2210,2.515837104072398
12011010306,574,1156,0.49653979238754326
12011010307,7337,2031,3.6125061546036434
12011010308,1556,1822,0.854006586169045
12011010401,537,2164,0.24815157116451017
12011010402,1942,1417,1.370501058574453
12011010403,4078,1378,2.9593613933236576
12011010405,3363,3488,0.9641628440366973
12011010406,1039,1956,0.5311860940695297
12011010407,5980,2543,2.3515532835233977
12011010502,1762,1728,1.0196759259259258
12011010503,2419,9074,0.26658584968040555
12011010504,966,2701,0.35764531654942616
12011010601,2526,3593,0.703033676593376
12011010603,971,2390,0.4062761506276151
12011010604,1868,1953,0.9564772145417306
12011010605,1709,3120,0.5477564102564103
12011010606,5645,3142,1.7966263526416295
12011010609,5744,2153,2.6679052484904786
12011010610,1624,3096,0.524547803617571
12011010611,1282,1993,0.643251379829403
12011010612,1466,2896,0.5062154696132597
12011010613,225,1379,0.16316171138506164
12011010614,640,1492,0.4289544235924933
12011010615,1200,2075,0.5783132530120482
12011010701,3121,2351,1.3275202041684389
12011010702,2675,4080,0.6556372549019608
12011010800,3175,3392,0.9360259433962265
12011010901,769,1005,0.7651741293532338
12011010902,526,1323,0.3975812547241119
12011011000,400,641,0.62402496099844
12011020101,2414,3943,0.6122241947755516
12011020103,1732,3033,0.5710517639301023
12011020104,3234,1316,2.4574468085106385
12011020204,577,3043,0.18961551100887283
12011020205,2631,3677,0.7155289638292086
12011020206,161,2411,0.06677727084197428
12011020209,1357,1356,1.0007374631268438
12011020210,658,3043,0.2162339796253697
12011020211,288,1286,0.223950233281493
12011020212,114,1531,0.07446113651208361
12011020213,14,1332,0.010510510510510511
12011020214,382,1520,0.2513157894736842
12011020302,1018,4076,0.24975466143277722
12011020308,766,2504,0.3059105431309904
12011020309,1502,2688,0.5587797619047619
12011020311,2127,1708,1.2453161592505855
12011020312,559,2494,0.22413793103448276
